date,expiry,type,strike,spot,iv,premium,delta
2017-01-17,2017-01-24,call,900,907.94,1.138,60.83,0.5535
2017-01-17,2017-01-24,put,900,907.94,1.218,56.87,-0.4458
2017-01-17,2017-01-24,call,900,907.94,1.138,60.83,0.5535
2017-01-17,2017-01-24,put,900,907.94,1.218,56.87,-0.4458
2017-01-17,2017-01-24,call,1000,907.94,1.138,24.76,0.2967
2017-01-17,2017-01-24,put,1000,907.94,1.218,120.35,-0.6873
2017-01-17,2017-01-24,call,1000,907.94,1.138,24.76,0.2967
2017-01-17,2017-01-24,put,1000,907.94,1.218,120.35,-0.6873
2017-01-18,2017-01-25,call,800,886.62,1.1463,107.44,0.7664
2017-01-18,2017-01-25,put,800,886.62,1.2263,23.87,-0.245
2017-01-18,2017-01-25,call,800,886.62,1.1463,107.44,0.7664
2017-01-18,2017-01-25,put,800,886.62,1.2263,23.87,-0.245
2017-01-18,2017-01-25,call,900,886.62,1.1463,50.08,0.494
2017-01-18,2017-01-25,put,900,886.62,1.2263,67.38,-0.5013
2017-01-18,2017-01-25,call,900,886.62,1.1463,50.08,0.494
2017-01-18,2017-01-25,put,900,886.62,1.2263,67.38,-0.5013
2017-01-18,2017-01-25,call,1000,886.62,1.1463,19.3,0.2487
2017-01-18,2017-01-25,put,1000,886.62,1.2263,135.85,-0.7336
2017-01-19,2017-01-26,call,800,899.07,1.1495,117.26,0.7919
2017-01-19,2017-01-26,put,800,899.07,1.2295,21.09,-0.2204
2017-01-19,2017-01-26,call,900,899.07,1.1495,56.6,0.5291
2017-01-19,2017-01-26,put,900,899.07,1.2295,61.49,-0.4685
2017-01-19,2017-01-26,call,900,899.07,1.1495,56.6,0.5291
2017-01-19,2017-01-26,put,900,899.07,1.2295,61.49,-0.4685
2017-01-19,2017-01-26,call,900,899.07,1.1495,56.6,0.5291
2017-01-19,2017-01-26,put,900,899.07,1.2295,61.49,-0.4685
2017-01-19,2017-01-26,call,1000,899.07,1.1495,22.71,0.278
2017-01-19,2017-01-26,put,1000,899.07,1.2295,127.02,-0.7053
2017-01-20,2017-01-27,call,800,895.03,1.149,114.06,0.7838
2017-01-20,2017-01-27,put,800,895.03,1.229,21.98,-0.2283
2017-01-20,2017-01-27,call,900,895.03,1.149,54.46,0.5178
2017-01-20,2017-01-27,put,900,895.03,1.229,63.39,-0.479
2017-01-20,2017-01-27,call,900,895.03,1.149,54.46,0.5178
2017-01-20,2017-01-27,put,900,895.03,1.229,63.39,-0.479
2017-01-20,2017-01-27,call,900,895.03,1.149,54.46,0.5178
2017-01-20,2017-01-27,put,900,895.03,1.229,63.39,-0.479
2017-01-20,2017-01-27,call,1000,895.03,1.149,21.58,0.2685
2017-01-20,2017-01-27,put,1000,895.03,1.229,129.88,-0.7145
2017-01-21,2017-01-28,call,800,921.79,0.5542,122.62,0.9703
2017-01-21,2017-01-28,put,800,921.79,0.6342,1.7,-0.0487
2017-01-21,2017-01-28,call,900,921.79,0.5542,40.12,0.6369
2017-01-21,2017-01-28,put,900,921.79,0.6342,22.18,-0.3759
2017-01-21,2017-01-28,call,900,921.79,0.5542,40.12,0.6369
2017-01-21,2017-01-28,put,900,921.79,0.6342,22.18,-0.3759
2017-01-21,2017-01-28,call,1000,921.79,0.5542,5.45,0.1532
2017-01-21,2017-01-28,put,1000,921.79,0.6342,86.26,-0.8115
2017-01-21,2017-01-28,call,1000,921.79,0.5542,5.45,0.1532
2017-01-21,2017-01-28,put,1000,921.79,0.6342,86.26,-0.8115
2017-01-22,2017-01-29,call,800,924.67,0.5471,125.37,0.9744
2017-01-22,2017-01-29,put,800,924.67,0.6271,1.48,-0.0435
2017-01-22,2017-01-29,call,900,924.67,0.5471,41.64,0.6535
2017-01-22,2017-01-29,put,900,924.67,0.6271,20.78,-0.3614
2017-01-22,2017-01-29,call,900,924.67,0.5471,41.64,0.6535
2017-01-22,2017-01-29,put,900,924.67,0.6271,20.78,-0.3614
2017-01-22,2017-01-29,call,1000,924.67,0.5471,5.69,0.1597
2017-01-22,2017-01-29,put,1000,924.67,0.6271,83.68,-0.8046
2017-01-22,2017-01-29,call,1000,924.67,0.5471,5.69,0.1597
2017-01-22,2017-01-29,put,1000,924.67,0.6271,83.68,-0.8046
2017-01-23,2017-01-30,call,800,921.01,0.5524,121.86,0.9699
2017-01-23,2017-01-30,put,800,921.01,0.6324,1.71,-0.0492
2017-01-23,2017-01-30,call,900,921.01,0.5524,39.54,0.6331
2017-01-23,2017-01-30,put,900,921.01,0.6324,22.39,-0.3793
2017-01-23,2017-01-30,call,900,921.01,0.5524,39.54,0.6331
2017-01-23,2017-01-30,put,900,921.01,0.6324,22.39,-0.3793
2017-01-23,2017-01-30,call,1000,921.01,0.5524,5.28,0.1498
2017-01-23,2017-01-30,put,1000,921.01,0.6324,86.83,-0.8148
2017-01-23,2017-01-30,call,1000,921.01,0.5524,5.28,0.1498
2017-01-23,2017-01-30,put,1000,921.01,0.6324,86.83,-0.8148
2017-01-24,2017-01-31,call,800,892.69,0.5997,95.75,0.9133
2017-01-24,2017-01-31,put,800,892.69,0.6797,4.79,-0.1128
2017-01-24,2017-01-31,call,800,892.69,0.5997,95.75,0.9133
2017-01-24,2017-01-31,put,800,892.69,0.6797,4.79,-0.1128
2017-01-24,2017-01-31,call,900,892.69,0.5997,26.18,0.4774
2017-01-24,2017-01-31,put,900,892.69,0.6797,37.43,-0.5158
2017-01-24,2017-01-31,call,900,892.69,0.5997,26.18,0.4774
2017-01-24,2017-01-31,put,900,892.69,0.6797,37.43,-0.5158
2017-01-24,2017-01-31,call,1000,892.69,0.5997,3.09,0.0925
2017-01-24,2017-01-31,put,1000,892.69,0.6797,112.24,-0.8768
2017-01-25,2017-02-01,call,800,901.54,0.599,103.9,0.9308
2017-01-25,2017-02-01,put,800,901.54,0.679,3.86,-0.0938
2017-01-25,2017-02-01,call,900,901.54,0.599,30.58,0.5248
2017-01-25,2017-02-01,put,900,901.54,0.679,33.01,-0.474
2017-01-25,2017-02-01,call,900,901.54,0.599,30.58,0.5248
2017-01-25,2017-02-01,put,900,901.54,0.679,33.01,-0.474
2017-01-25,2017-02-01,call,900,901.54,0.599,30.58,0.5248
2017-01-25,2017-02-01,put,900,901.54,0.679,33.01,-0.474
2017-01-25,2017-02-01,call,1000,901.54,0.599,3.99,0.1135
2017-01-25,2017-02-01,put,1000,901.54,0.679,104.55,-0.8544
2017-01-26,2017-02-02,call,800,917.59,0.6009,119.06,0.9544
2017-01-26,2017-02-02,put,800,917.59,0.6809,2.62,-0.0666
2017-01-26,2017-02-02,call,900,917.59,0.6009,39.77,0.608
2017-01-26,2017-02-02,put,900,917.59,0.6809,26.1,-0.4004
2017-01-26,2017-02-02,call,900,917.59,0.6009,39.77,0.608
2017-01-26,2017-02-02,put,900,917.59,0.6809,26.1,-0.4004
2017-01-26,2017-02-02,call,1000,917.59,0.6009,6.22,0.1606
2017-01-26,2017-02-02,put,1000,917.59,0.6809,91.28,-0.8065
2017-01-26,2017-02-02,call,1000,917.59,0.6009,6.22,0.1606
2017-01-26,2017-02-02,put,1000,917.59,0.6809,91.28,-0.8065
2017-01-27,2017-02-03,call,800,919.75,0.3215,119.76,0.9992
2017-01-27,2017-02-03,put,800,919.75,0.4015,0.09,-0.0056
2017-01-27,2017-02-03,call,900,919.75,0.3215,27.92,0.6949
2017-01-27,2017-02-03,put,900,919.75,0.4015,11.82,-0.3379
2017-01-27,2017-02-03,call,900,919.75,0.3215,27.92,0.6949
2017-01-27,2017-02-03,put,900,919.75,0.4015,11.82,-0.3379
2017-01-27,2017-02-03,call,1000,919.75,0.3215,0.5,0.0317
2017-01-27,2017-02-03,put,1000,919.75,0.4015,81.8,-0.9301
2017-01-27,2017-02-03,call,1000,919.75,0.3215,0.5,0.0317
2017-01-27,2017-02-03,put,1000,919.75,0.4015,81.8,-0.9301
2017-01-28,2017-02-04,call,800,921.59,0.2789,121.59,0.9999
2017-01-28,2017-02-04,put,800,921.59,0.3589,0.03,-0.002
2017-01-28,2017-02-04,call,900,921.59,0.2789,27.39,0.7367
2017-01-28,2017-02-04,put,900,921.59,0.3589,9.28,-0.3079
2017-01-28,2017-02-04,call,900,921.59,0.2789,27.39,0.7367
2017-01-28,2017-02-04,put,900,921.59,0.3589,9.28,-0.3079
2017-01-28,2017-02-04,call,1000,921.59,0.2789,0.23,0.0181
2017-01-28,2017-02-04,put,1000,921.59,0.3589,79.41,-0.9472
2017-01-28,2017-02-04,call,1000,921.59,0.2789,0.23,0.0181
2017-01-28,2017-02-04,put,1000,921.59,0.3589,79.41,-0.9472
2017-01-29,2017-02-05,call,800,919.5,0.2729,119.5,0.9999
2017-01-29,2017-02-05,put,800,919.5,0.3529,0.03,-0.002
2017-01-29,2017-02-05,call,900,919.5,0.2729,25.61,0.721
2017-01-29,2017-02-05,put,900,919.5,0.3529,9.67,-0.3217
2017-01-29,2017-02-05,call,900,919.5,0.2729,25.61,0.721
2017-01-29,2017-02-05,put,900,919.5,0.3529,9.67,-0.3217
2017-01-29,2017-02-05,call,1000,919.5,0.2729,0.17,0.0138
2017-01-29,2017-02-05,put,1000,919.5,0.3529,81.33,-0.9548
2017-01-29,2017-02-05,call,1000,919.5,0.2729,0.17,0.0138
2017-01-29,2017-02-05,put,1000,919.5,0.3529,81.33,-0.9548
2017-01-30,2017-02-06,call,800,920.38,0.2698,120.38,0.9999
2017-01-30,2017-02-06,put,800,920.38,0.3498,0.02,-0.0018
2017-01-30,2017-02-06,call,900,920.38,0.2698,26.12,0.7318
2017-01-30,2017-02-06,put,900,920.38,0.3498,9.24,-0.3133
2017-01-30,2017-02-06,call,900,920.38,0.2698,26.12,0.7318
2017-01-30,2017-02-06,put,900,920.38,0.3498,9.24,-0.3133
2017-01-30,2017-02-06,call,1000,920.38,0.2698,0.16,0.0138
2017-01-30,2017-02-06,put,1000,920.38,0.3498,80.44,-0.9544
2017-01-30,2017-02-06,call,1000,920.38,0.2698,0.16,0.0138
2017-01-30,2017-02-06,put,1000,920.38,0.3498,80.44,-0.9544
2017-01-31,2017-02-07,call,900,970.4,0.3709,71.92,0.9322
2017-01-31,2017-02-07,put,900,970.4,0.4509,3.23,-0.108
2017-01-31,2017-02-07,call,900,970.4,0.3709,71.92,0.9322
2017-01-31,2017-02-07,put,900,970.4,0.4509,3.23,-0.108
2017-01-31,2017-02-07,call,1000,970.4,0.3709,8.74,0.288
2017-01-31,2017-02-07,put,1000,970.4,0.4509,42.12,-0.6736
2017-01-31,2017-02-07,call,1000,970.4,0.3709,8.74,0.288
2017-01-31,2017-02-07,put,1000,970.4,0.4509,42.12,-0.6736
2017-01-31,2017-02-07,call,1100,970.4,0.3709,0.13,0.0079
2017-01-31,2017-02-07,put,1100,970.4,0.4509,130.13,-0.9759
2017-02-01,2017-02-08,call,900,989.02,0.379,89.74,0.9659
2017-02-01,2017-02-08,put,900,989.02,0.459,1.82,-0.0648
2017-02-01,2017-02-08,call,900,989.02,0.379,89.74,0.9659
2017-02-01,2017-02-08,put,900,989.02,0.459,1.82,-0.0648
2017-02-01,2017-02-08,call,1000,989.02,0.379,15.79,0.427
2017-02-01,2017-02-08,put,1000,989.02,0.459,31.08,-0.5564
2017-02-01,2017-02-08,call,1000,989.02,0.379,15.79,0.427
2017-02-01,2017-02-08,put,1000,989.02,0.459,31.08,-0.5564
2017-02-01,2017-02-08,call,1100,989.02,0.379,0.43,0.0228
2017-02-01,2017-02-08,put,1100,989.02,0.459,112.27,-0.9496
2017-02-02,2017-02-09,call,900,1011.8,0.3825,112.04,0.9873
2017-02-02,2017-02-09,put,900,1011.8,0.4625,0.81,-0.0314
2017-02-02,2017-02-09,call,1000,1011.8,0.3825,27.68,0.5979
2017-02-02,2017-02-09,put,1000,1011.8,0.4625,20.23,-0.4148
2017-02-02,2017-02-09,call,1000,1011.8,0.3825,27.68,0.5979
2017-02-02,2017-02-09,put,1000,1011.8,0.4625,20.23,-0.4148
2017-02-02,2017-02-09,call,1100,1011.8,0.3825,1.37,0.0604
2017-02-02,2017-02-09,put,1100,1011.8,0.4625,91.24,-0.8984
2017-02-02,2017-02-09,call,1100,1011.8,0.3825,1.37,0.0604
2017-02-02,2017-02-09,put,1100,1011.8,0.4625,91.24,-0.8984
2017-02-03,2017-02-10,call,900,1029.91,0.2803,129.91,0.9998
2017-02-03,2017-02-10,put,900,1029.91,0.3603,0.05,-0.0032
2017-02-03,2017-02-10,call,1000,1029.91,0.2803,35.0,0.7819
2017-02-03,2017-02-10,put,1000,1029.91,0.3603,8.67,-0.2691
2017-02-03,2017-02-10,call,1000,1029.91,0.2803,35.0,0.7819
2017-02-03,2017-02-10,put,1000,1029.91,0.3603,8.67,-0.2691
2017-02-03,2017-02-10,call,1100,1029.91,0.2803,0.76,0.0468
2017-02-03,2017-02-10,put,1100,1029.91,0.3603,72.41,-0.9022
2017-02-03,2017-02-10,call,1100,1029.91,0.2803,0.76,0.0468
2017-02-03,2017-02-10,put,1100,1029.91,0.3603,72.41,-0.9022
2017-02-04,2017-02-11,call,900,1042.9,0.2792,142.9,0.9999
2017-02-04,2017-02-11,put,900,1042.9,0.3592,0.02,-0.0014
2017-02-04,2017-02-11,call,1000,1042.9,0.2792,45.68,0.8656
2017-02-04,2017-02-11,put,1000,1042.9,0.3592,5.64,-0.1923
2017-02-04,2017-02-11,call,1000,1042.9,0.2792,45.68,0.8656
2017-02-04,2017-02-11,put,1000,1042.9,0.3592,5.64,-0.1923
2017-02-04,2017-02-11,call,1100,1042.9,0.2792,1.59,0.087
2017-02-04,2017-02-11,put,1100,1042.9,0.3592,60.97,-0.8524
2017-02-04,2017-02-11,call,1100,1042.9,0.2792,1.59,0.087
2017-02-04,2017-02-11,put,1100,1042.9,0.3592,60.97,-0.8524
2017-02-05,2017-02-12,call,900,1027.34,0.3256,127.36,0.9985
2017-02-05,2017-02-12,put,900,1027.34,0.4056,0.17,-0.0086
2017-02-05,2017-02-12,call,1000,1027.34,0.3256,35.07,0.7326
2017-02-05,2017-02-12,put,1000,1027.34,0.4056,11.61,-0.3056
2017-02-05,2017-02-12,call,1000,1027.34,0.3256,35.07,0.7326
2017-02-05,2017-02-12,put,1000,1027.34,0.4056,11.61,-0.3056
2017-02-05,2017-02-12,call,1100,1027.34,0.3256,1.35,0.0677
2017-02-05,2017-02-12,put,1100,1027.34,0.4056,75.9,-0.8827
2017-02-05,2017-02-12,call,1100,1027.34,0.3256,1.35,0.0677
2017-02-05,2017-02-12,put,1100,1027.34,0.4056,75.9,-0.8827
2017-02-06,2017-02-13,call,900,1038.15,0.3206,138.16,0.9994
2017-02-06,2017-02-13,put,900,1038.15,0.4006,0.09,-0.0046
2017-02-06,2017-02-13,call,1000,1038.15,0.3206,43.19,0.8066
2017-02-06,2017-02-13,put,1000,1038.15,0.4006,8.43,-0.2412
2017-02-06,2017-02-13,call,1000,1038.15,0.3206,43.19,0.8066
2017-02-06,2017-02-13,put,1000,1038.15,0.4006,8.43,-0.2412
2017-02-06,2017-02-13,call,1100,1038.15,0.3206,2.14,0.1001
2017-02-06,2017-02-13,put,1100,1038.15,0.4006,66.4,-0.845
2017-02-06,2017-02-13,call,1100,1038.15,0.3206,2.14,0.1001
2017-02-06,2017-02-13,put,1100,1038.15,0.4006,66.4,-0.845
2017-02-07,2017-02-14,call,1000,1061.35,0.3182,63.2,0.9152
2017-02-07,2017-02-14,put,1000,1061.35,0.3982,4.05,-0.1341
2017-02-07,2017-02-14,call,1000,1061.35,0.3182,63.2,0.9152
2017-02-07,2017-02-14,put,1000,1061.35,0.3982,4.05,-0.1341
2017-02-07,2017-02-14,call,1100,1061.35,0.3182,5.6,0.2148
2017-02-07,2017-02-14,put,1100,1061.35,0.3982,47.92,-0.7327
2017-02-07,2017-02-14,call,1100,1061.35,0.3182,5.6,0.2148
2017-02-07,2017-02-14,put,1100,1061.35,0.3982,47.92,-0.7327
2017-02-07,2017-02-14,call,1200,1061.35,0.3182,0.04,0.0028
2017-02-07,2017-02-14,put,1200,1061.35,0.3982,138.93,-0.9861
2017-02-08,2017-02-15,call,1000,1063.07,0.3114,64.64,0.925
2017-02-08,2017-02-15,put,1000,1063.07,0.3914,3.63,-0.124
2017-02-08,2017-02-15,call,1000,1063.07,0.3114,64.64,0.925
2017-02-08,2017-02-15,put,1000,1063.07,0.3914,3.63,-0.124
2017-02-08,2017-02-15,call,1100,1063.07,0.3114,5.69,0.2206
2017-02-08,2017-02-15,put,1100,1063.07,0.3914,46.34,-0.7267
2017-02-08,2017-02-15,call,1100,1063.07,0.3114,5.69,0.2206
2017-02-08,2017-02-15,put,1100,1063.07,0.3914,46.34,-0.7267
2017-02-08,2017-02-15,call,1200,1063.07,0.3114,0.04,0.0027
2017-02-08,2017-02-15,put,1200,1063.07,0.3914,137.2,-0.9864
2017-02-09,2017-02-16,call,900,994.38,0.5688,98.03,0.9041
2017-02-09,2017-02-16,put,900,994.38,0.6488,5.72,-0.1241
2017-02-09,2017-02-16,call,900,994.38,0.5688,98.03,0.9041
2017-02-09,2017-02-16,put,900,994.38,0.6488,5.72,-0.1241
2017-02-09,2017-02-16,call,1000,994.38,0.5688,28.6,0.4872
2017-02-09,2017-02-16,put,1000,994.38,0.6488,38.61,-0.5071
2017-02-09,2017-02-16,call,1000,994.38,0.5688,28.6,0.4872
2017-02-09,2017-02-16,put,1000,994.38,0.6488,38.61,-0.5071
2017-02-09,2017-02-16,call,1100,994.38,0.5688,3.9,0.1071
2017-02-09,2017-02-16,put,1100,994.38,0.6488,111.77,-0.8596
2017-02-10,2017-02-17,call,900,988.67,0.4888,91.08,0.9225
2017-02-10,2017-02-17,put,900,988.67,0.5688,4.23,-0.1089
2017-02-10,2017-02-17,call,900,988.67,0.4888,91.08,0.9225
2017-02-10,2017-02-17,put,900,988.67,0.5688,4.23,-0.1089
2017-02-10,2017-02-17,call,1000,988.67,0.4888,21.57,0.4465
2017-02-10,2017-02-17,put,1000,988.67,0.5688,37.23,-0.5419
2017-02-10,2017-02-17,call,1000,988.67,0.4888,21.57,0.4465
2017-02-10,2017-02-17,put,1000,988.67,0.5688,37.23,-0.5419
2017-02-10,2017-02-17,call,1100,988.67,0.4888,1.73,0.0615
2017-02-10,2017-02-17,put,1100,988.67,0.5688,114.65,-0.9058
2017-02-11,2017-02-18,call,900,1004.45,0.4849,105.82,0.9524
2017-02-11,2017-02-18,put,900,1004.45,0.5649,2.71,-0.0746
2017-02-11,2017-02-18,call,1000,1004.45,0.4849,29.13,0.5397
2017-02-11,2017-02-18,put,1000,1004.45,0.5649,29.1,-0.4618
2017-02-11,2017-02-18,call,1000,1004.45,0.4849,29.13,0.5397
2017-02-11,2017-02-18,put,1000,1004.45,0.5649,29.1,-0.4618
2017-02-11,2017-02-18,call,1100,1004.45,0.4849,2.87,0.0935
2017-02-11,2017-02-18,put,1100,1004.45,0.5649,100.54,-0.8692
2017-02-11,2017-02-18,call,1100,1004.45,0.4849,2.87,0.0935
2017-02-11,2017-02-18,put,1100,1004.45,0.5649,100.54,-0.8692
2017-02-12,2017-02-19,call,900,999.18,0.4656,100.53,0.9509
2017-02-12,2017-02-19,put,900,999.18,0.5456,2.72,-0.0776
2017-02-12,2017-02-19,call,900,999.18,0.4656,100.53,0.9509
2017-02-12,2017-02-19,put,900,999.18,0.5456,2.72,-0.0776
2017-02-12,2017-02-19,call,1000,999.18,0.4656,25.3,0.5078
2017-02-12,2017-02-19,put,1000,999.18,0.5456,30.53,-0.4893
2017-02-12,2017-02-19,call,1000,999.18,0.4656,25.3,0.5078
2017-02-12,2017-02-19,put,1000,999.18,0.5456,30.53,-0.4893
2017-02-12,2017-02-19,call,1100,999.18,0.4656,2.02,0.0723
2017-02-12,2017-02-19,put,1100,999.18,0.5456,104.64,-0.8915
2017-02-13,2017-02-20,call,900,990.64,0.4499,92.21,0.9419
2017-02-13,2017-02-20,put,900,990.64,0.5299,3.1,-0.0894
2017-02-13,2017-02-20,call,900,990.64,0.4499,92.21,0.9419
2017-02-13,2017-02-20,put,900,990.64,0.5299,3.1,-0.0894
2017-02-13,2017-02-20,call,1000,990.64,0.4499,20.34,0.4523
2017-02-13,2017-02-20,put,1000,990.64,0.5299,34.05,-0.5364
2017-02-13,2017-02-20,call,1000,990.64,0.4499,20.34,0.4523
2017-02-13,2017-02-20,put,1000,990.64,0.5299,34.05,-0.5364
2017-02-13,2017-02-20,call,1100,990.64,0.4499,1.25,0.0495
2017-02-13,2017-02-20,put,1100,990.64,0.5299,112.0,-0.9178
2017-02-14,2017-02-21,call,900,1004.55,0.4519,105.5,0.9631
2017-02-14,2017-02-21,put,900,1004.55,0.5319,2.09,-0.0632
2017-02-14,2017-02-21,call,1000,1004.55,0.4519,27.36,0.5413
2017-02-14,2017-02-21,put,1000,1004.55,0.5319,27.23,-0.4608
2017-02-14,2017-02-21,call,1000,1004.55,0.4519,27.36,0.5413
2017-02-14,2017-02-21,put,1000,1004.55,0.5319,27.23,-0.4608
2017-02-14,2017-02-21,call,1100,1004.55,0.4519,2.16,0.0779
2017-02-14,2017-02-21,put,1100,1004.55,0.5319,99.51,-0.884
2017-02-14,2017-02-21,call,1100,1004.55,0.4519,2.16,0.0779
2017-02-14,2017-02-21,put,1100,1004.55,0.5319,99.51,-0.884
2017-02-15,2017-02-22,call,900,1007.48,0.4471,108.28,0.9681
2017-02-15,2017-02-22,put,900,1007.48,0.5271,1.83,-0.0568
2017-02-15,2017-02-22,call,1000,1007.48,0.4471,28.71,0.5601
2017-02-15,2017-02-22,put,1000,1007.48,0.5271,25.63,-0.4449
2017-02-15,2017-02-22,call,1000,1007.48,0.4471,28.71,0.5601
2017-02-15,2017-02-22,put,1000,1007.48,0.5271,25.63,-0.4449
2017-02-15,2017-02-22,call,1100,1007.48,0.4471,2.29,0.0826
2017-02-15,2017-02-22,put,1100,1007.48,0.5271,96.8,-0.8784
2017-02-15,2017-02-22,call,1100,1007.48,0.4471,2.29,0.0826
2017-02-15,2017-02-22,put,1100,1007.48,0.5271,96.8,-0.8784
2017-02-16,2017-02-23,call,900,1027.44,0.4598,127.86,0.9826
2017-02-16,2017-02-23,put,900,1027.44,0.5398,1.1,-0.0352
2017-02-16,2017-02-23,call,1000,1027.44,0.4598,41.76,0.6762
2017-02-16,2017-02-23,put,1000,1027.44,0.5398,18.46,-0.3448
2017-02-16,2017-02-23,call,1000,1027.44,0.4598,41.76,0.6762
2017-02-16,2017-02-23,put,1000,1027.44,0.5398,18.46,-0.3448
2017-02-16,2017-02-23,call,1100,1027.44,0.4598,4.91,0.1492
2017-02-16,2017-02-23,put,1100,1027.44,0.5398,80.35,-0.8094
2017-02-16,2017-02-23,call,1100,1027.44,0.4598,4.91,0.1492
2017-02-16,2017-02-23,put,1100,1027.44,0.5398,80.35,-0.8094
2017-02-17,2017-02-24,call,900,1046.21,0.4526,146.37,0.9925
2017-02-17,2017-02-24,put,900,1046.21,0.5326,0.54,-0.0189
2017-02-17,2017-02-24,call,1000,1046.21,0.4526,55.05,0.774
2017-02-17,2017-02-24,put,1000,1046.21,0.5326,12.47,-0.2581
2017-02-17,2017-02-24,call,1000,1046.21,0.4526,55.05,0.774
2017-02-17,2017-02-24,put,1000,1046.21,0.5326,12.47,-0.2581
